[array([[-0.02398207,  0.06651619,  0.08016843,  0.08266798, -0.05486006,
        -0.04325633, -0.03689791, -0.07270683,  0.09988615, -0.08982536,
         0.02591877,  0.0789129 ,  0.06076055,  0.07208086,  0.08420341,
        -0.05972234,  0.01586945, -0.06282414,  0.05958638,  0.11722271,
         0.06010472, -0.05814269, -0.0781008 ,  0.08121457,  0.06981008,
        -0.05959656, -0.05825246, -0.06459648,  0.08484659, -0.05533064,
         0.0877094 , -0.11090671,  0.06706323,  0.08246456,  0.06019969,
         0.07353574,  0.07818396,  0.07811283,  0.03495213, -0.03995001,
        -0.10208049, -0.05993656, -0.07052241, -0.11737313,  0.07589644,
         0.07043236,  0.05657165,  0.07187208,  0.0641656 ,  0.08998019],
       [ 0.02812127,  0.01960322, -0.00995011, -0.01574032, -0.07428226,
         0.02810288, -0.04177216,  0.04416894,  0.03938244,  0.05311056,
        -0.08280816,  0.02932393, -0.07340154, -0.03849391, -0.02158629,
         0.05106854, -0.00969257,  0.10551027, -0.07588217, -0.04389202,
        -0.0246997 ,  0.04849352, -0.01141669, -0.0152783 , -0.04049329,
         0.07495374,  0.11339486, -0.05634047, -0.01600185,  0.0372638 ,
         0.05356707, -0.01536887,  0.00203834,  0.03290818, -0.01115814,
        -0.00391068, -0.03032446, -0.00773741,  0.05206244,  0.00181189,
         0.05839177, -0.08128022,  0.03767661, -0.04696799, -0.06785612,
        -0.01627831,  0.07338633, -0.04588269,  0.1013248 ,  0.00063847],
       [ 0.09894327, -0.0228404 ,  0.01726964,  0.03119365,  0.02721193,
        -0.04641921, -0.00679883, -0.02135731,  0.00864759,  0.0090155 ,
        -0.01758948, -0.10556676, -0.06778768,  0.02918942, -0.04993958,
         0.05297781, -0.0053238 , -0.02039926, -0.05154391,  0.00331391,
         0.03419714,  0.04717809,  0.00965014, -0.01661794, -0.03025073,
         0.04961361, -0.01185882, -0.04257758,  0.02625283, -0.01364256,
         0.04858684,  0.02177753,  0.031031  , -0.13564426, -0.13105866,
        -0.02008592,  0.01522969,  0.05734134,  0.04124273,  0.10540164,
         0.0469719 , -0.00364001, -0.03144673, -0.03036806,  0.032385  ,
        -0.03711663, -0.00107382,  0.11439893, -0.07001702, -0.012919  ],
       [-0.02726352,  0.03664903, -0.00316989,  0.06514098, -0.06160164,
        -0.00611293,  0.01700996, -0.02620276, -0.00289893,  0.0173041 ,
         0.00307344,  0.0730101 ,  0.06861062,  0.03526764, -0.01996318,
         0.03912052, -0.03249096,  0.07049205, -0.12243523, -0.04797048,
         0.0089687 , -0.04367813, -0.03757375, -0.05519097,  0.02907856,
        -0.00966683,  0.06514758,  0.03687168, -0.09024409,  0.01092129,
        -0.02833149, -0.01758542,  0.00555057,  0.00463255,  0.06686243,
         0.06059704,  0.06103985, -0.00563828,  0.07604688, -0.04103965,
        -0.055799  ,  0.00371022, -0.05115914,  0.01934657,  0.02524838,
         0.06516471,  0.01991075,  0.01457889, -0.0499997 , -0.07188773],
       [-0.02563215,  0.03350002, -0.07882276, -0.00189914,  0.02880937,
        -0.02898162,  0.00336632,  0.05251458, -0.12449712, -0.00354817,
        -0.02251004, -0.04979637,  0.05443057, -0.05979817, -0.00617566,
        -0.05903235, -0.05818029, -0.03447753,  0.0327433 , -0.05899187,
         0.06854382,  0.03674605, -0.01528428, -0.01471407,  0.0214533 ,
        -0.02584785, -0.07512191, -0.01996795, -0.02716196,  0.08648472,
         0.09214925,  0.1007975 ,  0.02888453,  0.10302575, -0.03036366,
        -0.01911351, -0.0040472 , -0.01071568, -0.0034362 , -0.01600896,
         0.04449349,  0.02284966,  0.09231791, -0.01411402, -0.01418085,
         0.08705143, -0.01549667,  0.11880857, -0.00415715,  0.01304568],
       [-0.05331901, -0.07020327, -0.02064835, -0.01864283,  0.00370548,
         0.11847597,  0.03336877,  0.00688864,  0.03453144, -0.00196484,
         0.03986851,  0.08235903,  0.03107429, -0.02060039,  0.02047709,
         0.13504426, -0.03650606, -0.07735559, -0.00307761, -0.01799078,
        -0.05817733,  0.03271183,  0.04051187, -0.00724101, -0.02525796,
        -0.04838754, -0.08364056,  0.01353097, -0.00605721,  0.02146558,
        -0.01854025,  0.11215979, -0.1047852 , -0.10825404,  0.03043182,
         0.00749183,  0.00840598, -0.06977289, -0.0703311 ,  0.10228746,
         0.00933048,  0.02559966, -0.0621976 , -0.00845528,  0.05707231,
        -0.01679121, -0.04149423,  0.05463839, -0.09250673,  0.00486524],
       [ 0.056298  , -0.00661358, -0.00860061,  0.00676233, -0.0347739 ,
        -0.04693994,  0.0767004 ,  0.00827299, -0.06324067,  0.00735722,
         0.0456507 ,  0.00045994,  0.05194661, -0.02109414,  0.0328084 ,
         0.0454712 , -0.02738287,  0.06617413,  0.00501524,  0.05705403,
         0.04104202, -0.06744501,  0.02112709, -0.07439912,  0.00893801,
         0.06804366, -0.01601139,  0.03028002, -0.03043267,  0.01080386,
         0.02287064,  0.02004525,  0.05438093, -0.07290322,  0.01652226,
         0.05895628, -0.11454555, -0.03587317,  0.04773418, -0.00850699,
         0.00546991,  0.10262394,  0.01328154, -0.00205687,  0.03625737,
         0.00746769, -0.01882579, -0.02472064,  0.06844776,  0.02299208],
       [-0.04039534, -0.01531673,  0.03986515,  0.03314834, -0.05398033,
         0.029262  , -0.0325432 ,  0.05334629, -0.00753949, -0.02134327,
         0.00624063,  0.06073286,  0.10869623,  0.03313752,  0.00778781,
        -0.05316194,  0.0460241 ,  0.03715061, -0.05191905, -0.01529927,
         0.02338435, -0.05967106,  0.01807374,  0.06938816,  0.03477859,
        -0.08701452, -0.02817748,  0.07049143, -0.10390399, -0.03046556,
         0.00524291,  0.02586638, -0.03535264, -0.11403845,  0.11836764,
        -0.11373966, -0.00738197,  0.09907971, -0.02704693, -0.02310985,
         0.02236391, -0.01821115, -0.04885032, -0.04640792,  0.04154068,
        -0.03091463,  0.03611188,  0.02255777, -0.01414429, -0.05777997]], dtype=float32), array([  4.31994442e-04,   1.29637914e-03,   5.32695616e-04,
         4.72403161e-04,  -6.95070776e-04,  -1.53415429e-03,
          4.03229780e-02,   1.22390762e-02,   1.39386877e-02,
         -7.99062010e-03,   8.24900046e-02,   3.12421983e-03,
          3.04818619e-02,   1.52411964e-02,   6.70893118e-02,
          1.87028721e-02,   7.40091279e-02,   6.71084151e-02,
          3.17150690e-02,   1.01708464e-01,  -3.79574113e-02,
         -6.55480698e-02,   1.15614787e-01],
       [  1.30886445e-02,   7.76536250e-03,   6.98821917e-02,
          1.08844407e-01,  -2.80472450e-02,   9.11649615e-02,
         -5.69359101e-02,  -4.09491211e-02,   4.89092991e-02,
          4.45216596e-02,   4.03384306e-02,  -7.08690193e-03,
          7.98536390e-02,   7.63104111e-02,   7.65275657e-02,
          1.23325258e-01,   4.96102087e-02,   4.28307243e-02,
          1.24943689e-01,   7.58271888e-02],
       [  3.25032584e-02,   8.09311867e-02,   1.20316874e-02,
          6.56369701e-02,  -2.99298968e-02,   9.86692309e-02,
         -7.44370569e-04,   2.54259538e-02,   1.51310256e-02,
          1.67299043e-02,   5.25591560e-02,   1.19647197e-01,
          8.35422277e-02,   1.53338686e-01,  -3.66734341e-03,
          8.82786140e-02,   7.61178657e-02,   8.54697227e-02,
         -5.07693924e-02,   4.05117050e-02],
       [  8.12723935e-02,   1.62102446e-01,   4.12221253e-02,
          3.72252092e-02,   5.48087358e-02,   2.40079709e-03,
          6.71282187e-02,   2.27115247e-02,   4.94495258e-02,
          7.19888881e-02,   8.73148665e-02,   4.04517576e-02,
          1.01138741e-01,   5.87194003e-02,   1.46997094e-01,
          5.45033738e-02,   1.16940431e-01,  -4.57796864e-02,
          1.63350254e-02,  -6.30498677e-03],
       [  7.10339770e-02,   6.51774853e-02,   2.89444886e-02,
          8.01881477e-02,  -2.58733630e-02,   6.56607673e-02,
          5.88839725e-02,  -4.96072844e-02,   6.85229839e-04,
         -5.52295416e-04,   3.23252790e-02,   4.82735075e-02,
         -3.91540565e-02,   3.79979536e-02,  -6.37410283e-02,
          1.14454925e-02,  -1.54823801e-02,   1.29123945e-02,
         -3.00259516e-02,   1.35653270e-02],
       [  3.17462273e-02,  -6.76346421e-02,   5.11660799e-03,
         -5.89846214e-03,   4.83875908e-02,   3.23139951e-02,
         -4.16557817e-03,   1.43857840e-02,  -1.61931049e-02,
          9.24510881e-02,  -7.79575389e-03,   1.91984465e-03,
         -2.40789708e-02,  -4.38940432e-03,  -2.92558800e-02,
         -4.45439816e-02,   3.31819765e-02,   1.91601645e-02,
         -3.44578028e-02,  -1.71781480e-02],
       [ -4.51505184e-02,   5.77003136e-02,  -4.66483943e-02,
          3.92824225e-02,   3.86341847e-02,  -2.16089338e-02,
          2.71174889e-02,   1.53181612e-01,  -5.84665127e-03,
          4.29967642e-02,  -4.20125872e-02,   5.42704016e-02,
         -1.23325279e-02,  -1.04954215e-02,   8.48403852e-03,
         -5.98335788e-02,   3.64432260e-02,   1.14626419e-02,
          1.22530293e-02,  -3.56651805e-02],
       [ -2.01043586e-04,  -1.29818334e-03,   9.71334521e-06,
         -1.40208602e-02,   7.96578154e-02,  -5.75923286e-02,
          2.22368110e-02,  -1.30157014e-02,  -3.89236398e-02,
         -1.87095590e-02,   6.83948919e-02,   6.12659380e-02,
          6.31669760e-02,  -4.80080657e-02,  -1.85076930e-02,
          4.54181656e-02,  -5.25977276e-02,  -4.11512107e-02,
         -1.19755574e-01,   4.78259567e-03],
       [  1.46527719e-02,   2.84374715e-03,  -7.89525546e-03,
          2.52037100e-03,  -2.33246703e-02,   3.88627909e-02,
         -9.99157280e-02,   5.75025119e-02,   1.70951132e-02,
          7.81060830e-02,  -4.69879210e-02,  -5.37035465e-02,
          3.08766831e-02,  -2.05722135e-02,   2.54513081e-02,
          2.44233888e-02,   6.80977181e-02,   2.79085170e-02,
         -2.01635007e-02,   7.73252994e-02],
       [ -5.46586812e-02,   2.70657726e-02,   2.17224844e-02,
          5.42289503e-02,  -2.20078435e-02,  -4.19902690e-02,
         -1.00312997e-02,   5.44128194e-02,  -1.16762323e-02,
          1.29051758e-02,  -4.34330441e-02,   5.56298234e-02,
          3.98239680e-03,   5.04806377e-02,   2.02370584e-02,
          4.19602357e-02,   4.68660183e-02,   4.64704484e-02,
         -1.24188520e-01,  -4.50870395e-02],
       [ -1.36584882e-02,   5.40411882e-02,   5.56289814e-02,
          4.43876386e-02,   4.37438712e-02,   5.33418991e-02,
         -2.52796500e-03,   3.76654267e-02,  -8.66124593e-03,
          8.78942758e-02,   4.45697568e-02,   9.08274800e-02,
          6.74909875e-02,   1.11467913e-01,   7.87911844e-03,
          9.04119983e-02,  -2.60749902e-03,   1.01496369e-01,
          1.51984587e-01,  -2.56586969e-02],
       [  3.83490361e-02,  -4.24153544e-02,   3.62763926e-02,
         -1.03993816e-02,   6.84397072e-02,   1.54974625e-01,
          1.02890104e-01,   3.07024159e-02,   1.04990833e-01,
          8.08533952e-02,   5.85956313e-02,   3.76738375e-03,
         -4.98060398e-02,   2.01001242e-02,   9.47641581e-02,
          2.41710972e-02,   3.77047360e-02,   3.41433436e-02,
          3.86827104e-02,   3.11080329e-02],
       [  4.77791764e-02,   1.82144083e-02,  -1.38794268e-02,
          2.59581935e-02,   5.64669371e-02,   4.29561026e-02,
         -2.46997587e-02,  -5.62726632e-02,  -2.72414759e-02,
         -2.13552527e-02,   7.40237162e-02,   6.94102719e-02,
          1.13177104e-02,   2.78198533e-02,   1.58204958e-02,
         -2.44633853e-02,  -8.91729891e-02,   4.60186005e-02,
          2.24058971e-01,   5.10015190e-02],
       [  9.70365256e-02,   3.34958509e-02,   3.52138504e-02,
          3.60825695e-02,   1.66544825e-01,  -2.30309125e-02,
          6.75816312e-02,   9.04329717e-02,   8.31435770e-02,
          1.67330340e-01,   1.09695330e-01,  -3.49550210e-02,
          1.62289832e-02,   2.37052515e-02,   3.46827433e-02,
          1.55272614e-02,   2.08959337e-02,  -2.46982127e-02,
          7.11575523e-03,  -1.98447350e-02],
       [ -4.46442738e-02,  -5.65380491e-02,  -1.40469307e-02,
          2.15551257e-02,   1.33102149e-01,   8.98157135e-02,
          4.26287577e-02,   4.24867347e-02,   2.97619272e-02,
          4.54578362e-02,   9.09574255e-02,   9.14693698e-02,
          5.09921648e-02,  -1.67446174e-02,   7.80646279e-02,
          2.61278264e-02,  -2.76487898e-02,  -2.72448454e-02,
         -2.41490249e-02,   7.09481351e-03],
       [ -3.94219998e-03,   7.71652386e-02,   6.65968880e-02,
          1.08441912e-01,  -8.61077942e-03,   3.80104221e-02,
          1.43170789e-01,   2.73115169e-02,  -2.33771373e-02,
          7.03242049e-02,   8.12324136e-02,   3.91905010e-03,
          5.29723652e-02,   6.66990131e-02,  -6.08230708e-03,
          4.00034189e-02,   6.16303720e-02,   2.41398606e-02,
          1.38896376e-01,   3.81860361e-02]], dtype=float32), array([ 0.04986637,  0.04045411,  0.0404707 ,  0.0554916 ,  0.04536069,
        0.06071918,  0.03440357,  0.04035673,  0.05203312,  0.04646229,
        0.05295156,  0.04280845,  0.0513607 ,  0.05474312,  0.05822495,
        0.04982527,  0.03034621,  0.04365281,  0.04657764,  0.05040308], dtype=float32)][array([[-0.51556861],
       [-0.47348124],
       [-0.52939659],
       [-0.58979154],
       [-0.50605983],
       [-0.7005595 ],
       [-0.41385937],
       [-0.48796335],
       [-0.50992727],
       [-0.59270775],
       [-0.70995581],
       [-0.48885217],
       [-0.55144256],
       [-0.62814635],
       [-0.64749634],
       [-0.54670602],
       [-0.38082889],
       [-0.48630342],
       [-0.57983822],
       [-0.55591679]], dtype=float32), array([-0.91290313], dtype=float32)]
